17,Iron Dragon,Cedar Point,Sandusky,Ohio,United States,Operating,1987-06-11,,Steel,Thrill,Suspended,2800.0,76.0,,40.0,0.0,,2:00
18,Cedar Creek Mine Ride,Cedar Point,Sandusky,Ohio,United States,Operating,1969-05-24,,Steel,Thrill,Sit Down,2540.0,48.0,,42.0,0.0,,2:42
19,Disaster Transport,Cedar Point,Sandusky,Ohio,United States,Operated,1985-05-11,2012-07-29,Steel,Thrill,Bobsled,1932.0,63.0,,40.0,0.0,,2:32
20,Wildcat,Cedar Point,Sandusky,Ohio,United States,Operated,1979,2011,Steel,Thrill,Sit Down,1837.0,50.0,,40.0,0.0,,1:25
21,Orient Express,Worlds of Fun,Kansas City,Missouri,United States,Operated,1980-04-04,2003-10-26,Steel,Extreme,Sit Down,3470.0,117.0,115.0,50.0,4.0,55.0,2:00
22,Timber Wolf,Worlds of Fun,Kansas City,Missouri,United States,Operating,1989-04-01,,Wood,Extreme,Sit Down,4230.0,100.0,95.0,53.0,0.0,,2:13
23,Zambezi Zinger,Worlds of Fun,Kansas City,Missouri,United States,Operated,1973-05-26,1997,Steel,Thrill,Sit Down,2583.0,56.8,,41.2,0.0,,2:31
24,Batman The Ride,Six Flags Magic Mountain,Valencia,California,United States,Operating,1994-03-26,,Steel,Extreme,Inverted,2700.0,105.0,,50.0,5.0,,2:00
25,Viper,Six Flags Magic Mountain,Valencia,California,United States,Operating,1990-04-07,,Steel,Extreme,Sit Down,3830.0,188.0,171.0,70.0,7.0,,2:30
26,Colossus,Six Flags Magic Mountain,Valencia,California,United States,Operated,1978-06-29,2014-08-16,Wood,Extreme,Sit Down,4325.0,125.0,115.0,62.0,0.0,,2:30
28,Shock Wave,Six Flags Over Texas,Arlington,Texas,United States,Operating,1978-04-22,,Steel,Extreme,Sit Down,3600.0,116.0,,60.0,2.0,,2:00
29,Judge Roy Scream,Six Flags Over Texas,Arlington,Texas,United States,Operating,1980-03-01,,Wood,Thrill,Sit Down,2670.0,71.0,65.0,45.0,0.0,,1:30
31,Runaway Mountain,Six Flags Over Texas,Arlington,Texas,United States,Operating,1996,,Steel,Thrill,Sit Down,1500.0,65.0,,40.0,0.0,,
32,Batman The Ride,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,1993-05-01,,Steel,Extreme,Inverted,2693.0,105.0,,50.0,5.0,,1:30
33,Viper,Six Flags Great Adventure,Jackson,New Jersey,United States,Operated,1995-06,2004,Steel,Extreme,Sit Down,1670.0,88.6,,48.0,2.0,,2:24
34,Great American Scream Machine,Six Flags Great Adventure,Jackson,New Jersey,United States,Operated,1989,2010-07-18,Steel,Extreme,Sit Down,3800.0,173.0,155.0,68.0,7.0,,2:20
35,Skull Mountain,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,1996-06-03,,Steel,Family,Sit Down,1377.0,40.5,37.0,33.0,0.0,,1:24
36,Georgia Cyclone,Six Flags Over Georgia,Austell,Georgia,United States,Operated,1990-03,2017-07-30,Wood,Extreme,Sit Down,2970.0,95.0,78.5,50.0,0.0,53.0,1:48
37,Riddler Mindbender,Six Flags Over Georgia,Austell,Georgia,United States,SBNO,,2020,Steel,Extreme,Sit Down,3253.0,80.0,,50.0,2.0,,2:33
38,Tidal Wave,Six Flags Great America,Gurnee,Illinois,United States,Operated,1978,1991,Steel,Extreme,Sit Down,863.0,137.8,,57.0,1.0,70.0,0:38
39,Viper,Six Flags Over Georgia,Austell,Georgia,United States,Operated,1995,2001-09-16,Steel,Extreme,Sit Down,863.0,137.8,,57.0,1.0,70.0,0:38
40,Blue Hawk,Six Flags Over Georgia,Austell,Georgia,United States,Operating,1992-03-01,,Steel,Extreme,Sit Down,2742.0,122.0,,52.0,5.0,,1:20
41,Great American Scream Machine,Six Flags Over Georgia,Austell,Georgia,United States,Operating,1973-04,,Wood,Extreme,Sit Down,3450.0,105.0,89.0,57.0,0.0,45.0,2:00
42,Dahlonega Mine Train,Six Flags Over Georgia,Austell,Georgia,United States,Operating,1967,,Steel,Thrill,Sit Down,2327.0,37.0,,29.0,0.0,45.0,2:51
43,Batman The Ride,Six Flags St. Louis,Eureka,Missouri,United States,Operating,1995-04-22,,Steel,Extreme,Inverted,2693.0,105.0,,50.0,5.0,,2:00
44,Screamin' Eagle,Six Flags St. Louis,Eureka,Missouri,United States,Operating,1976-04-10,,Wood,Extreme,Sit Down,3872.0,110.0,92.0,62.0,0.0,,2:30
45,Ultra Twister,Six Flags Great Adventure,Jackson,New Jersey,United States,Operated,1986,1988,Steel,Extreme,Pipeline,1421.0,96.8,92.0,44.0,3.0,85.0,1:40
46,Ultra Twister,Six Flags AstroWorld,Houston,Texas,United States,Operated,1990,2005-10-30,Steel,Extreme,Pipeline,1421.0,96.8,92.0,44.0,3.0,85.0,1:40
49,Jet Scream,Six Flags St. Louis,Eureka,Missouri,United States,Operated,1981,1988,Steel,Extreme,Sit Down,1942.3,80.4,,47.8,1.0,,
50,Viper,Six Flags AstroWorld,Houston,Texas,United States,Operated,1989,2005-10-30,Steel,Extreme,Sit Down,1942.3,80.4,,47.8,1.0,,
55,Greezed Lightnin',Six Flags AstroWorld,Houston,Texas,United States,Operated,1978,2005-10-30,Steel,Extreme,Sit Down,849.0,137.8,,60.0,1.0,,0:33
56,Rattler,Six Flags Fiesta Texas,San Antonio,Texas,United States,Operated,1992-03-14,2012-08-04,Wood,Extreme,Sit Down,5080.0,179.7,124.0,65.0,0.0,61.4,
57,Flight Deck,Canada's Wonderland,Vaughan,Ontario,Canada,Operating,1995,,Steel,Extreme,Inverted,2260.5,109.3,,49.7,5.0,,1:28
58,Dragon Fyre,Canada's Wonderland,Vaughan,Ontario,Canada,Operating,1981,,Steel,Extreme,Sit Down,2160.0,78.0,76.0,50.0,4.0,,1:30
59,Mighty Canadian Minebuster,Canada's Wonderland,Vaughan,Ontario,Canada,Operating,1981,,Wood,Extreme,Sit Down,3828.0,90.0,87.0,55.9,0.0,,2:02
60,Wilde Beast,Canada's Wonderland,Vaughan,Ontario,Canada,Operating,1981,,Wood,Extreme,Sit Down,3150.0,82.0,78.0,56.0,0.0,,2:02
61,Ghoster Coaster,Canada's Wonderland,Vaughan,Ontario,Canada,Operating,1981,,Wood,Family,Sit Down,1356.0,41.0,39.0,35.0,0.0,,1:20
62,SkyRider,Canada's Wonderland,Vaughan,Ontario,Canada,Operated,1985-05,2014-09-01,Steel,Extreme,Stand Up,2210.0,88.0,84.0,51.0,1.0,,1:32
63,Thunder Run,Canada's Wonderland,Vaughan,Ontario,Canada,Operating,1981-05-23,,Steel,Family,Sit Down,1083.0,33.0,,40.0,0.0,,1:24
64,Bat,Canada's Wonderland,Vaughan,Ontario,Canada,Operating,1987,,Steel,Extreme,Sit Down,935.0,116.5,,47.0,3.0,,1:48
65,Vortex,Canada's Wonderland,Vaughan,Ontario,Canada,Operating,1991,,Steel,Thrill,Suspended,2361.0,91.0,85.0,55.0,0.0,,1:36
66,Flight of Fear,Kings Island,Mason,Ohio,United States,Operating,1996,,Steel,Extreme,Sit Down,2705.0,74.2,,54.0,4.0,,1:00
67,Beast,Kings Island,Mason,Ohio,United States,Operating,1979-04-14,,Wood,Extreme,Sit Down,7359.0,110.0,141.0,64.8,0.0,45.0,4:10
68,King Cobra,Kings Island,Mason,Ohio,United States,Operated,1984-04-22,2001-11-05,Steel,Extreme,Stand Up,2219.0,95.0,,50.0,1.0,,2:00
69,Racer,Kings Island,Mason,Ohio,United States,Operating,1972-04-29,,Wood,Extreme,Sit Down,3415.0,88.0,,53.0,0.0,45.0,2:00
70,Adventure Express,Kings Island,Mason,Ohio,United States,Operating,1991-04-13,,Steel,Thrill,Sit Down,2963.0,63.0,,35.0,0.0,,2:20
71,Vortex,Kings Island,Mason,Ohio,United States,Operated,1987-04-11,2019-10-27,Steel,Extreme,Sit Down,3800.0,148.0,138.0,55.0,6.0,55.0,2:30
72,Woodstock Express,Kings Island,Mason,Ohio,United States,Operating,1972-04-29,,Wood,Family,Sit Down,1350.0,38.6,,35.0,0.0,,1:30
73,Bat,Kings Island,Mason,Ohio,United States,Operating,1993-04-09,,Steel,Thrill,Suspended,2352.0,78.0,,51.0,0.0,,1:52
75,Greased Lightnin',California's Great America,Santa Clara,California,United States,Operated,1977-07-08,2002,Steel,Extreme,Sit Down,863.0,137.8,,57.0,1.0,70.0,0:30
76,Demon,California's Great America,Santa Clara,California,United States,Operating,1976-05-20,,Steel,Extreme,Sit Down,2130.0,102.0,90.0,50.0,4.0,54.0,1:45
77,Grizzly,California's Great America,Santa Clara,California,United States,Operating,1986,,Wood,Extreme,Sit Down,3250.0,91.0,,55.0,0.0,,2:40
79,Patriot,California's Great America,Santa Clara,California,United States,Operating,1991-03-09,,Steel,Extreme,Sit Down,1920.0,91.0,,45.0,2.0,,2:14
80,Flight Deck,California's Great America,Santa Clara,California,United States,Operating,1993-03-19,,Steel,Extreme,Inverted,2260.0,102.0,91.0,50.0,3.0,,2:26
81,Carolina Cyclone,Carowinds,Charlotte,North Carolina,United States,Operating,1980-03-22,,Steel,Extreme,Sit Down,2100.0,95.0,65.0,41.0,4.0,,1:30
84,Thunder Road,Carowinds,Charlotte,North Carolina,United States,Operated,1976-04-03,2015-07-26,Wood,Extreme,Sit Down,3819.0,93.0,,58.0,0.0,,2:10
85,Hurler,Carowinds,Charlotte,North Carolina,United States,Operating,1994,,Wood,Extreme,Sit Down,3157.0,83.0,,50.0,0.0,,2:00
86,Vortex,Carowinds,Charlotte,North Carolina,United States,Operating,1992-03-14,,Steel,Extreme,Stand Up,2040.0,90.0,,50.0,2.0,,2:19
87,Montu,Busch Gardens Tampa,Tampa,Florida,United States,Operating,1996-05-16,,Steel,Extreme,Inverted,3983.0,150.0,128.0,60.0,7.0,50.0,3:00
88,Racer 75,Kings Dominion,Doswell,Virginia,United States,Operating,1975-05-03,,Wood,Extreme,Sit Down,3368.5,85.0,,56.0,0.0,50.0,2:15
89,Woodstock Express,Kings Dominion,Doswell,Virginia,United States,Operating,1974,,Wood,Family,Sit Down,1385.0,35.0,,35.0,0.0,,1:40
91,Shockwave,Kings Dominion,Doswell,Virginia,United States,Operated,1986,2015-08-09,Steel,Extreme,Stand Up,2231.0,95.0,,50.0,1.0,,2:00
92,Anaconda,Kings Dominion,Doswell,Virginia,United States,Operating,1991-03-23,,Steel,Extreme,Sit Down,2700.0,128.0,144.0,50.0,4.0,,1:50
93,Hurler,Kings Dominion,Doswell,Virginia,United States,Operated,1994-04-28,2015,Wood,Extreme,Sit Down,3157.0,83.0,,50.0,0.0,,2:00
94,Kumba,Busch Gardens Tampa,Tampa,Florida,United States,Operating,1993-04-20,,Steel,Extreme,Sit Down,3978.0,143.0,135.0,60.0,7.0,,2:54
95,Scorpion,Busch Gardens Tampa,Tampa,Florida,United States,Operating,1980-05-16,,Steel,Extreme,Sit Down,1817.6,60.7,,41.0,1.0,,1:30
96,Python,Busch Gardens Tampa,Tampa,Florida,United States,Operated,1976-07-01,2006-10-31,Steel,Extreme,Sit Down,1200.0,72.0,,40.0,2.0,,1:08
98,Sarajevo Bobsleds,Six Flags Magic Mountain,Valencia,California,United States,Operated,1984,1985,Steel,Thrill,Bobsled,1490.0,60.0,,32.0,0.0,,1:30
99,La Vibora,Six Flags Over Texas,Arlington,Texas,United States,Operating,1986,,Steel,Thrill,Bobsled,1490.0,60.0,,32.0,0.0,,1:30
100,Wildcat,Hersheypark,Hershey,Pennsylvania,United States,Operating,1996-05-26,,Wood,Extreme,Sit Down,3183.0,106.0,85.2,50.0,0.0,,
101,Pepsi Orange Streak,Nickelodeon Universe,Bloomington,Minnesota,United States,Operating,1992-08-11,,Steel,Family,Sit Down,2680.0,60.0,40.0,30.0,0.0,,2:30
103,Desperado,Buffalo Bill's Resort & Casino,Primm,Nevada,United States,Operating,1994,,Steel,Extreme,Sit Down,5843.0,209.0,225.0,80.0,0.0,60.0,2:43
104,Canyon Blaster,Adventuredome,Las Vegas,Nevada,United States,Operating,1993-08-23,,Steel,Extreme,Sit Down,2423.0,94.0,66.0,41.0,4.0,,1:30
106,Comet,Hersheypark,Hershey,Pennsylvania,United States,Operating,1946-05-30,,Wood,Extreme,Sit Down,3360.0,84.0,78.0,50.0,0.0,,1:45
109,Sidewinder,Hersheypark,Hershey,Pennsylvania,United States,Operating,1991-05-11,,Steel,Extreme,Sit Down,935.0,116.5,,47.0,3.0,,1:48
110,Loch Ness Monster,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,Operating,1978,,Steel,Extreme,Sit Down,3240.0,130.0,114.2,60.0,2.0,55.0,2:10
111,Big Bad Wolf,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,Operated,1984-06-15,2009-09-07,Steel,Thrill,Suspended,2800.0,100.0,80.0,48.0,0.0,,3:00
112,Drachen Fire,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,Operated,1992-04-04,1998-07,Steel,Extreme,Sit Down,3550.0,150.0,145.0,60.0,5.0,,
113,Whizzer,Six Flags Great America,Gurnee,Illinois,United States,Operating,1976,,Steel,Thrill,Sit Down,3100.0,70.0,64.0,42.0,0.0,,2:00
117,High Roller,Valleyfair!,Shakopee,Minnesota,United States,Operating,1976,,Wood,Extreme,Sit Down,2982.0,70.0,,50.0,0.0,,1:45
118,Corkscrew,Valleyfair!,Shakopee,Minnesota,United States,Operating,1980,,Steel,Extreme,Sit Down,1950.0,85.0,,50.0,3.0,,1:30
119,Excalibur,Valleyfair!,Shakopee,Minnesota,United States,Operating,1989,,Steel,Thrill,Sit Down,2415.0,100.0,105.0,54.5,0.0,60.0,2:17
120,Jack Rabbit,Kennywood,West Mifflin,Pennsylvania,United States,Operating,1920,,Wood,Thrill,Sit Down,2132.0,40.0,70.0,45.0,0.0,45.0,1:36
121,Racer,Kennywood,West Mifflin,Pennsylvania,United States,Operating,1927,,Wood,Thrill,Sit Down,4500.0,72.5,50.0,40.0,0.0,,1:32
122,Thunderbolt,Kennywood,West Mifflin,Pennsylvania,United States,Operating,1924,,Wood,Extreme,Sit Down,3250.0,70.0,90.0,55.0,0.0,,1:41
123,Phantom's Revenge,Kennywood,West Mifflin,Pennsylvania,United States,Operating,1991,,Steel,Extreme,Sit Down,3200.0,160.0,228.0,85.0,0.0,,1:57
124,Ninja,Six Flags St. Louis,Eureka,Missouri,United States,Operating,1989-04,,Steel,Extreme,Sit Down,2430.0,108.3,,54.7,4.0,,2:00
125,River King Mine Train,Six Flags St. Louis,Eureka,Missouri,United States,Operating,1971-06,,Steel,Thrill,Sit Down,2500.0,32.0,41.0,37.0,0.0,,3:00
126,Z-Force,Six Flags Great America,Gurnee,Illinois,United States,Operated,1985,1987,Steel,Extreme,Sit Down,1900.0,86.0,,35.0,0.0,,1:30
127,Z-Force,Six Flags Over Georgia,Austell,Georgia,United States,Operated,1988,1991,Steel,Extreme,Sit Down,1900.0,86.0,,35.0,0.0,,1:30
128,Flashback,Six Flags Magic Mountain,Valencia,California,United States,Operated,1992-04-25,2003,Steel,Extreme,Sit Down,1900.0,86.0,,35.0,0.0,,1:30
129,Ninja,Six Flags Magic Mountain,Valencia,California,United States,Operating,1988-05-21,,Steel,Thrill,Suspended,2700.0,60.0,,55.0,0.0,,1:30
130,New Revolution,Six Flags Magic Mountain,Valencia,California,United States,Operating,1976-05-08,,Steel,Extreme,Sit Down,3457.0,113.0,,55.0,1.0,,2:12
132,Rolling Thunder,Six Flags Great Adventure,Jackson,New Jersey,United States,Operated,1979,2013-09-08,Wood,Extreme,Sit Down,3200.0,96.0,,56.0,0.0,,2:10
133,Excalibur,Six Flags AstroWorld,Houston,Texas,United States,Operated,1972,1998,Steel,Thrill,Sit Down,2637.0,88.0,80.0,46.0,0.0,,2:51
134,XLR-8,Six Flags AstroWorld,Houston,Texas,United States,Operated,1984,2005-10-30,Steel,Thrill,Suspended,3000.0,81.0,,34.1,0.0,,3:00
136,Raven,Holiday World,Santa Claus,Indiana,United States,Operating,1995-05-06,,Wood,Extreme,Sit Down,2800.0,80.0,85.0,48.0,0.0,,1:30
137,Wild Thing,Valleyfair!,Shakopee,Minnesota,United States,Operating,1996-05-11,,Steel,Extreme,Sit Down,5460.0,207.0,196.0,74.0,0.0,,3:00
138,Flight of Fear,Kings Dominion,Doswell,Virginia,United States,Operating,1996-06-18,,Steel,Extreme,Sit Down,2705.0,74.2,,54.0,4.0,,2:24
139,Big Apple Coaster,"New York, New York Hotel & Casino",Las Vegas,Nevada,United States,Operating,1997-01-03,,Steel,Extreme,Sit Down,4777.0,203.0,144.0,67.0,2.0,55.0,2:40
140,Superman: Escape from Krypton,Six Flags Magic Mountain,Valencia,California,United States,Operating,1997-03-15,,Steel,Extreme,Sit Down,1235.0,415.0,328.1,100.0,0.0,90.0,0:28
142,Rocket,Playland Park,San Antonio,Texas,United States,Operated,1948,1980,Wood,Thrill,Sit Down,3200.0,78.0,72.0,45.0,0.0,,2:00
143,Phoenix,Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,Operating,1985-06-15,,Wood,Thrill,Sit Down,3200.0,78.0,72.0,45.0,0.0,,2:00
144,Whirlwind,Playland Park,Rye,New York,United States,Operated,1984,1992,Steel,Extreme,Sit Down,1148.3,64.0,,37.3,2.0,,
145,Whirlwind,Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,Operated,1993,2004,Steel,Extreme,Sit Down,1148.3,64.0,,37.3,2.0,,
147,Giant Coaster,Paragon Park,Hull,Massachusetts,United States,Operated,1917,1985,Wood,Extreme,Sit Down,4000.0,98.0,88.0,53.0,0.0,,1:52
148,Wild One,Six Flags America,Upper Marlboro,Maryland,United States,Operating,1986,,Wood,Extreme,Sit Down,4000.0,98.0,88.0,53.0,0.0,,1:52
149,Mind Eraser,Six Flags America,Upper Marlboro,Maryland,United States,Operating,1995-05-20,,Steel,Extreme,Inverted,2260.5,109.3,,49.7,5.0,,1:36
151,Lightnin' Loops,Six Flags Great Adventure,Jackson,New Jersey,United States,Operated,1978-07-18,1992,Steel,Extreme,Sit Down,635.0,56.0,47.0,45.0,1.0,,1:06
152,Python,Six Flags America,Upper Marlboro,Maryland,United States,Operated,1993,1998,Steel,Extreme,Sit Down,635.0,56.0,47.0,45.0,1.0,,1:06
153,Silver Bullet,Frontier City,Oklahoma City,Oklahoma,United States,Operating,1986,,Steel,Extreme,Sit Down,1942.0,80.0,,47.8,1.0,,
154,Wildcat,Fairyland Park,Kansas City,Missouri,United States,Operated,1967,1977,Wood,Thrill,Sit Down,2653.0,75.0,65.0,46.0,0.0,,2:10
155,Wildcat,Frontier City,Oklahoma City,Oklahoma,United States,Operating,1991,,Wood,Thrill,Sit Down,2653.0,75.0,65.0,46.0,0.0,,2:10
158,Great Nor'Easter,Morey's Piers,Wildwood,New Jersey,United States,Operating,1995,,Steel,Extreme,Inverted,2170.0,115.0,95.0,55.0,5.0,,2:05
159,Jet Star,Morey's Piers,Wildwood,New Jersey,United States,Operated,1993,1999,Steel,Thrill,Sit Down,1765.1,44.3,,31.1,0.0,,
161,Cyclops,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,United States,Operating,1995,,Wood,Extreme,Sit Down,1900.0,70.0,75.0,58.0,0.0,,1:00
162,Hangman,Opryland USA,Nashville,Tennessee,United States,Operated,1995-05-01,1997,Steel,Extreme,Inverted,2260.5,109.3,,49.7,5.0,,1:36
163,Kong,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,1998-05,,Steel,Extreme,Inverted,2260.5,109.3,,49.7,5.0,,1:36
166,Rock n' Roller Coaster,Opryland USA,Nashville,Tennessee,United States,Operated,1972,1997,Steel,Thrill,Sit Down,2036.0,56.0,,45.0,0.0,,2:30
167,Rock n' Roller Coaster,Old Indiana Fun-n-Water Park,Thorntown,Indiana,United States,In Storage,,,Steel,Thrill,Sit Down,2036.0,56.0,,45.0,0.0,,2:30
168,Wabash Cannonball,Opryland USA,Nashville,Tennessee,United States,Operated,1975,1997,Steel,Extreme,Sit Down,1200.0,70.0,,50.0,2.0,,
169,Wabash Cannonball,Old Indiana Fun-n-Water Park,Thorntown,Indiana,United States,In Storage,,,Steel,Extreme,Sit Down,1200.0,70.0,,50.0,2.0,,
172,Roller Skater,Kentucky Kingdom,Louisville,Kentucky,United States,Operating,1994,,Steel,Kiddie,Sit Down,679.2,27.9,,21.7,0.0,,0:50
173,Thunder Run,Kentucky Kingdom,Louisville,Kentucky,United States,Operating,1990-08,,Wood,Thrill,Sit Down,2850.0,90.0,,53.0,0.0,,1:54
174,Vampire,Kentucky Kingdom,Louisville,Kentucky,United States,Operated,1990,1999,Steel,Extreme,Sit Down,935.0,116.5,,47.0,3.0,,1:48
175,T3,Kentucky Kingdom,Louisville,Kentucky,United States,Operating,1995,,Steel,Extreme,Inverted,2171.9,101.7,,49.7,5.0,,1:36
176,Timber Terror,Silverwood Theme Park,Athol,Idaho,United States,Operating,1996,,Wood,Extreme,Sit Down,2700.0,85.0,,55.0,0.0,,1:32
177,Corkscrew,Knott's Berry Farm,Buena Park,California,United States,Operated,1975,1989,Steel,Extreme,Sit Down,1250.0,70.0,62.0,46.0,2.0,,
178,Corkscrew,Silverwood Theme Park,Athol,Idaho,United States,Operating,1990,,Steel,Extreme,Sit Down,1250.0,70.0,62.0,46.0,2.0,,
180,Cyclone,Six Flags New England,Agawam,Massachusetts,United States,Operated,1983-06-24,2014-07-20,Wood,Extreme,Sit Down,3600.0,112.0,,45.0,0.0,54.0,
181,Black Widow,Six Flags New England,Agawam,Massachusetts,United States,Operated,1977,1999,Steel,Extreme,Sit Down,635.0,56.0,47.0,45.0,1.0,,1:06
182,Thunderbolt,Six Flags New England,Agawam,Massachusetts,United States,Operating,1941,,Wood,Thrill,Sit Down,2600.0,70.0,,40.0,0.0,,1:00
186,Monstre,La Ronde,Montréal,Québec,Canada,Operating,1985-07-20,,Wood,Extreme,Sit Down,3996.1,130.9,,59.7,0.0,,
187,Boomerang,La Ronde,Montréal,Québec,Canada,Operating,1984,,Steel,Extreme,Sit Down,935.0,116.5,,47.0,3.0,,1:48
188,Super Manège,La Ronde,Montréal,Québec,Canada,Operated,1981,2019-08-25,Steel,Extreme,Sit Down,2400.0,75.0,68.0,40.0,2.0,,
192,Lady Bug Coaster,Marineland Theme Park,Niagara Falls,Ontario,Canada,Operating,1979,,Steel,Kiddie,Sit Down,197.5,10.8,,16.2,0.0,,0:40
193,Mindbender,Galaxyland Amusement Park,Edmonton,Alberta,Canada,Operating,1985,,Steel,Extreme,Sit Down,4198.0,145.0,127.0,60.0,3.0,,1:13
195,Roller Coaster,Upper Clements Park,Upper Clements,Nova Scotia,Canada,Operated,1989,2019,Wood,Thrill,Sit Down,1400.0,60.0,,35.0,0.0,,1:15
196,Roller Coaster,Lagoon,Farmington,Utah,United States,Operating,1921,,Wood,,Sit Down,2500.0,62.0,,45.0,0.0,,
197,Colossus the Fire Dragon,Lagoon,Farmington,Utah,United States,Operating,1983,,Steel,Extreme,Sit Down,2296.6,86.9,,49.1,2.0,,1:45
199,Puff the Little Fire Dragon,Lagoon,Farmington,Utah,United States,Operating,1985-05,,Steel,Kiddie,Sit Down,197.5,10.8,,16.2,0.0,,
203,Giant Dipper,Belmont Park,San Diego,California,United States,Operating,1925-07-04,,Wood,,Sit Down,2600.0,73.0,,55.0,0.0,,
204,Giant Dipper,Santa Cruz Beach Boardwalk,Santa Cruz,California,United States,Operating,1924-05-17,,Wood,,Sit Down,2640.0,70.0,65.0,55.0,0.0,,1:52
206,Joker's Revenge,Six Flags Fiesta Texas,San Antonio,Texas,United States,Operated,1996-05-10,2001,Steel,Extreme,Sit Down,1936.0,79.0,,40.0,3.0,,
208,Roaring Tornado,Magic Springs Theme and Water Park,Hot Springs,Arkansas,United States,Operated,1980,1989,Steel,Extreme,Sit Down,635.0,56.0,47.0,45.0,1.0,,1:06
209,Sidewinder,Elitch Gardens,Denver,Colorado,United States,Operating,1995-05-27,,Steel,Extreme,Sit Down,635.0,56.0,47.0,45.0,1.0,,1:06
210,Twister II,Elitch Gardens,Denver,Colorado,United States,Operating,1995-05-27,,Wood,Extreme,Sit Down,4640.0,100.0,,55.0,0.0,,
212,Tornado,Adventureland,Altoona,Iowa,United States,Operating,1978-07-04,,Wood,Thrill,Sit Down,2840.0,93.0,,58.0,0.0,,2:00
214,Outlaw,Adventureland,Altoona,Iowa,United States,Operating,1993-04-24,,Wood,Thrill,Sit Down,2800.0,67.0,,48.0,0.0,,2:00
217,Flyer Comet,Whalom Park,Lunenburg,Massachusetts,United States,Operated,1940,2000,Wood,,Sit Down,2640.0,70.0,,35.0,0.0,,1:55
218,Corkscrew,Michigan's Adventure,Muskegon,Michigan,United States,Operating,1979,,Steel,Extreme,Sit Down,1250.0,70.0,,45.0,2.0,,
219,Wolverine Wildcat,Michigan's Adventure,Muskegon,Michigan,United States,Operating,1988-05-14,,Wood,Extreme,Sit Down,3000.0,85.0,,55.0,0.0,,2:00
220,Thunderation,Silver Dollar City,Branson,Missouri,United States,Operating,1993-04-10,,Steel,Thrill,Sit Down,3022.0,81.0,,48.0,0.0,,2:10
